sentiment,content
1,exhausted tee knocking out nighty night tweety bird
1,yay work haha
1,turn really like sixty year old guy right seek future little later planned
0,im going bed dnt feel well always
1,chillin roomy can t wait zombie clwn cr gonna 6 8 week
0,return joy co tired tired inspire weary eyed see ire irony
0,realaudreykitch seriously kill bath now shower cubicle miss bubble bath
1,used last dvd r window iso next batch lightscribe dicsc want see work
1,tinas71 fun meeting tina definitely soon
1,cousin leon born today
1,theallianceguy thankies btw part scotland live in never got visit uk lived europe
1,pink i m looking forward see hear norway live fast
1,thomassmith yo thomas thanks follow social medium director disney that s awesome like learn more let lunch
1,jennywoo42 bbq chicken pizza last night although deep dish glad hear fun p r
1,morganmartinez dream hanging friend good woke there
1,new baby well attempting quot painting quot weekend
1,review done new sentence 100 iknow done wow role
1,glorianatheband hey guy saw st louis loved you would ever play ct met outside u nice
1,ready go milan see ya ll evening
0,far vigorous pruning regretting removal many cucumber flower cucumber plant
0,hi ho work go
0,hip wide rock mario kart short bone structure year old boy
0,back home moment iï ½m speaking aunt telephone darius neighting backround miss little horse
0,sometimes wish thing could go back way beginning last summer
1,ate foot long subway like hour ago omg happy full ate since b fast happy li
1,aight pau au au heading blaisdell arena lady 80 s concert cheehee awwrrite
0,life get soo dull sometimes u around x
0,katrin_l unfortunately not my work tie whole summer but there s eu tour fall i ll there want rebound
0,sickk tomorrow disaster get better
1,sunset view beautiful room
0,d died whatta letdown
0,almost fell asleep hair dryer tired feel like going puke
1,well productive since 5 30am woohoo busy day lot do
0,one want sit lunch guess bury head laptop continue anti social
0,inlovewitharmy timeeee mom say something daw tomorrow eh never compelte
1,watching ryann gonna grand day
1,myucan91 wahahahaha wanna naaaaa well hapit na guess hahahaha yes know hahahaha lol narn haha joke
1,youulovemee good gor juz yea kno asked yesterday tha hospital talked u said
0,no adventure time
1,followed great super mazembe one favorite around http blip fm 5jkbp
0,
1,jaisey aloha jaisey im excited supernatural back tv tonight jensen fest tonite
1,watched new t mobile advert youtube love quot hey jude quot
0,gimboland sorry change plan revision monday exam park one friend
1,got home stacey s lovely wedding
1,received personal email perez hilton
0,go last theater lunch im gonna cry
1,baked cake amp watching movie
1,watched star trek liked making mother card listening tunage copeland exact
1,janae24 lol let s find something quickly
1,headed see friend new baby gave trip lake cause dance class good mama
1,c4ss4ndr4 discern request hulu support excellent idea
1,corrina2008 bitch miss you
0,rmetalbroad belay swimsuit hot tub ready weekend sadness
0,producing pieterbickford anchoring sad goodbye miss lynne ashminov miss you
0,adambien good luck waiting online can t javaone year
1,amandapalmer loved it happy birthday said sounded like mixture john lennon chrissie hynde janis joplin
0,getting back swing still sore surgery tired coffee time
1,search ryan carera amp josh kelley really good
0,minascope always traffic heading back long island friday
0,day open 4 know do everyone leaving today
0,http twitpic com 67wb4 gotta show monday 9 hopefully head better then
0,damn 4got turn alarm woke 5 45am
0,pengen nonton friens mine comeback show di prost beer house kemang besok tapi ga bisaaaaaaaaaa
1,got home school fun oh btw music school
0,lazy sunday late lunch and forget buy pr we re page
0,jumping nearest bridge can t
0,lobster dinner mba folk tonight terasse pouring rain mtl
0,pappadeux yummy strawberry lemonade
1,mmm much better day far still quite early last day uds
0,im tired responsabilities wish kid seems everyone around money anymore
1,hey thanks follow wow exciting new tweet
0,missing hobo slut tramp way life cooking mother saturday night mama luv u
1,karriedaway look sooooo pretty love dang wish ny could c u ur thang
0,tree lined avenue begin fade view drowning past regret tea cigarette but cant seem forget when came along
0,renagades great day rain keep may go swimming instead dining
0,mi corazonsito tiene frio weather suck
1,jmbuckett oh snap kinda nut right now basedmagazine told least thanks babe
0,
1,jonasobsessedx _ thanxxx message wanna leave bye
0,
1,love leave laptop bed creates nice toasty spot
1,happy mother s day
0,nikkibenz hope so recorded pit wa game find didnt record lucky leaf woulda lost
0,suprnaturlshana look much better short hair
0,hanging rex missing alabama nanna already
1,marshacollier indeed excellent movie
1,going cincinnati day sunday visitin old friend brother korea date someone special
1,twittering hair dry washed macadamia orange shampoo smell gorgeous
1,chilling listning seal
0,meggiemouse going hour out say computer phone last week didnt care all
0,car car hospital nxt day gotta go pick loaner car b4 6 bein without wheel 7day set back heavy
0,mitchelmusso would love talk live england unfair
1,bandit_zero cool thats good
0,one_call awww wish could talking minute
1,shortyyyy 8 00 curtain two rug make bathing exciting hahaha
1,http twitpic com 4w6lf bbq time again
0,laylanatalie nowhere babe ice come job morning sigh
0,grrrrr fuck remembered later shift today work another hour wasted lay opportunity
1,tessneale suppose blog post could u email
0,sure real state market moving confused either hold go ahead plan
1,camillecakes nice called lmao
1,watching sex amp city brother soccer game totally defited purpose coming hehe
0,vonstroke heidi finished set stiff kitten aundy
0,official worst day called mile away
1,deadmemoriesx poor right now would probably give hug d
0,got home school lol 1 2 week left yay summer school
1,happy birthday tooo meeee happy birthday tooo meeee
1,inner desire go isle middle mediterranean soak sun good night dream inner desire
1,mmurray hearing song brighten someone s day always make grin
1,laughing reason maybe 2 27 tired haha maybe go bed night
1,surprisingly good day time sleep hopefully sweet dream await
1,philosophy final today thank sportygirlie08 day now
1,miafreedman looked gorgeous last night hope heap fun
1,sumptuous mexican meal
0,obviouslb bow try sometimes hard
0,lost work nt happy right sloanster
0,went dentist mouth hurt can t eat
1,man finishing quot operation anchorage quot sure give unfair advantage loot wise love stealth field suit gauss rifle
0,daysofbigwheels wish could see first hand
0,megfitzgerald heart hurt too
0,heap keen next weekend mummy lt 3
1,omg concert awesome madrigal gave chill almost every piece brook also called alumnus didnt get go
1,forever since tweet wanted say thaty love bill hope ya ll amazing week
0,aw zach feeling well hope get better babysitting canceled
0,headache nobody keep company _wants to be a kidd again lt 3
1,bye twitter amp fb world san francisco airport ready board air china sure internet access
0,
0,aaronhoskins fucking miss band much
0,wow really missin fam ily today baddd
0,song make want cry
1,bom dia good morning guten morgen returning twitter
1,hit view myspace thanks everyone
0,came home sister spent night
1,listening song quot shattered quot tynisha keli www myspace com tynishakeli
0,10 30pm friday night going bed pathetic
0,uh finally home completely wiped
1,rsvp ed qiuqiu s wedding invitation
1,yay made home feel great back still light out
1,buddhistethics congratulation mindful run well listening music
0,twitter eat dm s happy
0,fall asleep know feel lol drag hell tonight quite excited
0,
0,traceyhewins tired may go bed trouble miss american evening friend x
0,lunch time feeling really odd today generally great
0,sassij gonna chop tiny bit one two
1,joined twitter thanks m amp m
1,natsnapper thanks little girl love animal oohs aahs cute
0,ready weekend yay me even though over im lucky person get work day row till get another one
0,threefromleith poor you bank holiday monday today
0,feeling effect spring sinus killing
0,beckybuckwild omg beckky love you 250g s rootin you hows thing going
0,going thursday terrible idea knew reason done quarter pop advil
1,great night tomorrow mother day
1,sooo happy demi s back twitter
0,paid bill money
1,and accumulating money again use fancy finance app thinking getting another cd ira saving house crazy
1,jason_manford awww thats lovely thing u say u manchester x
0,
0,thestorystarts nothing aimed you joining in sorry
1,trying shop online wi could find seven 40 haha
1,looking forward orange juice fried egg cinnamon roll tomorrow morning
1,jason25329 yeah well deadline t 9 hour that s architecture you oh well mmm coffee sound like good idea
0,staceyi awww missed twitpic
0,
0,mr_kimbalicious milk have drink think thats whats making feel sick
0,lulurocks3 messed up hope day get better
1,excited cwpm tomorrow one member going still good start
1,http twitpic com 4qfl3 haha love
0,novemberlight sometimes fail
1,planted flovers school garden yr old very mucky great fun
1,think thing say make super chunk chocolate muffin kid
0,aww friend called said got better job working anymore
1,goodnight everyone happy mother day mother
0,wreck getting real sore now fault insurance planning go wedding tonight
1,sittin home hellllllllsssssss yeah got girrrrrl boysssss amp mangy cat good time life goodnight twitter
1,go acting school yayay
1,plsdontgogurl that s one wish video compilation jordanknight s thrusting
1,jomanlk trying best make luck
1,crisis averted phew different note ameec3 zelenski you guy making proud tear wish could joined
0,agentwill want tell think body odour
1,deiu guy moving la far shall make castle leave
1,mfrancella yet even get play year soon hope
1,yay bannerbomb wii finally out run homebrew 4 0 wii
0,
1,lifebychocolate alredy chocolate impossible resist
1,u who s heart break little time year know loved next week new week
1,tncc24 sweet livin saturday night
0,well that s last fabs gone
0,mitchelmusso never reply mee must really hate l
1,hoedown throwdown say is getting there
0,siiyu could lost dog poor girl
0,might go back much earlier expected bye bye bay area
0,bushidokan class got canceled sign karate someplace else
1,themandymoore looking forward new album
1,fatally_yours that s stunning
1,tired happy orphanage wow babysitting really fun
1,happy mother day mom mom mom mom woot woot mom rule
0,drive tweetie crazy miss big blue selected tweet highlight can t tell tweet selected anymore
1,want grape soda jack fowers fault also tracecyrus wish could see play uk gig sold out please reply
0,barbschaefer yearling pet home died sad whole family
1,forgot lumpia pancit fridge last night yay
1,beautyholic woohoooo both retail therapy surprise visit two thing love
1,photo session mother daughter bonding session happy
1,audreythebaby gandang mac un ah sure market ma mahal pa sya sa macbook pro ang cool ng concept
0,thenetimp yeah gonna long me
1,marcftsk haha thanks clarifying that i thought u meant mr bello wish could there cousin live
1,got home dinner really really full mom said dad bought sony a200k holyyyyyyy
1,my3daughters well sound delicious laying patio tom sans pool enjoy burger
0,suncito hi there got comp early last nite saw u feeling well hope u r better
1,frixionofficial hott tuuneee
0,friday love party sitter
1,littlefletcher hey ive seen musical live funny lol
0,pvtmarcus always choose good guy even know game feel bit bad evil thing
1,kelly_straycat haha ty
1,two week left middle school gig full time work summer teaching credential begin end august
1,monday yayy need get demi lovato ticket sell out
0,beta 3 0 expired today back 2 2 1 public release miss already
1,enjoyed x men w dwestbrook time rest drive home happy mother s day twit mom
0,kalediscope girl cry allergic seafood
1,head feel sooooooooooo much better
1,aphrodaisy thanks making homemade lasagna mum today
1,simonrim cheese counter go thanks
1,finally going home long night ready crash awesome dream
1,nikkidang yeah going last month amaaaazing bring back
1,wordydirts thanks first lol
0,min bej semanggi traffic friday siggghh
0,
0,lil_maggie okay miss tanyadenalilove im sad didnt text todayh
1,less hr graduation going tonight celebrate
